ID,PLIP_score
CEL_docked_complex,0.4000
CI5_docked_complex,0.4000
CIW_docked_complex,0.4000
CKJ_docked_complex,0.4000
CP9_docked_complex,0.4000
CWE_docked_complex,0.4000
CWV_docked_complex,0.4000
CX6_docked_complex,0.4000
CZP_docked_complex,0.4000
D2B_docked_complex,0.4000
D4X_docked_complex,0.4000
D7E_docked_complex,0.4000
D8A_docked_complex,0.4000
D9B_docked_complex,0.4000
DAI_docked_complex,0.4000
DD7_docked_complex,0.4000
DQ1_docked_complex,0.4000
DU1_docked_complex,0.4000
DU2_docked_complex,0.4000
DX8_docked_complex,0.4000
DY2_docked_complex,0.4000
DYZ_docked_complex,0.4000
E7Q_docked_complex,0.4000
E8J_docked_complex,0.4000
E9L_docked_complex,0.4000
EC5_docked_complex,0.4000
EGN_docked_complex,0.4000
EGU_docked_complex,0.4000
EHX_docked_complex,0.4000
EI1_docked_complex,0.4000
EI9_docked_complex,0.4000
EJR_docked_complex,0.4000
EN9_docked_complex,0.4000
EQO_docked_complex,0.4000
ET1_docked_complex,0.4000
EYE_docked_complex,0.4000
F28_docked_complex,0.4000
F3F_docked_complex,0.4000
F56_docked_complex,0.4000
F5Z_docked_complex,0.4000
F7M_docked_complex,0.4000
F83_docked_complex,0.4000
FCQ_docked_complex,0.4000
FDN_docked_complex,0.4000
FG9_docked_complex,0.4000
FH8_docked_complex,0.4000
FIJ_docked_complex,0.4000
FJR_docked_complex,0.4000
FJW_docked_complex,0.4000
FJX_docked_complex,0.4000
FJY_docked_complex,0.4000
FM9_docked_complex,0.4000
FNO_docked_complex,0.4000
FQ3_docked_complex,0.4000
FQC_docked_complex,0.4000
FQM_docked_complex,0.4000
FQX_docked_complex,0.4000
FS8_docked_complex,0.4000
FVK_docked_complex,0.4000
FW9_docked_complex,0.4000
FY8_docked_complex,0.4000
FYE_docked_complex,0.4000
FYH_docked_complex,0.4000
FYX_docked_complex,0.4000
G2E_docked_complex,0.4000
G2N_docked_complex,0.4000
G6E_docked_complex,0.4000
G6O_docked_complex,0.4000
G8U_docked_complex,0.4000
GDH_docked_complex,0.4000
GFI_docked_complex,0.4000
GJ6_docked_complex,0.4000
GKN_docked_complex,0.4000
GMR_docked_complex,0.4000
GQL_docked_complex,0.4000
GR9_docked_complex,0.4000
GW7_docked_complex,0.4000
GZR_docked_complex,0.4000
GZT_docked_complex,0.4000
H2B_docked_complex,0.4000
H2X_docked_complex,0.4000
H6U_docked_complex,0.4000
H6W_docked_complex,0.4000
HBM_docked_complex,0.4000
HBV_docked_complex,0.4000
HFG_docked_complex,0.4000
HFK_docked_complex,0.4000
HHR_docked_complex,0.4000
HIG_docked_complex,0.4000
HJ0_docked_complex,0.4000
HJL_docked_complex,0.4000
HK9_docked_complex,0.4000
HKG_docked_complex,0.4000
HNJ_docked_complex,0.4000
HOU_docked_complex,0.4000
HPJ_docked_complex,0.4000
HSI_docked_complex,0.4000
HT_docked_complex,0.4000
HYE_docked_complex,0.4000
I10_docked_complex,0.4000
I2S_docked_complex,0.4000
I39_docked_complex,0.4000
I9Z_docked_complex,0.4000
IA3_docked_complex,0.4000
IDT_docked_complex,0.4000
IE8_docked_complex,0.4000
IEU_docked_complex,0.4000
IEY_docked_complex,0.4000
IFE_docked_complex,0.4000
IGD_docked_complex,0.4000
