ID,SMILES,affinity,COM,RMSD,mcs_size,PLIP_sim_1MVN,PLIP_sim_1QZU_pred,Cluster
3RD,Cc1c(c(c(c(n1)/N=N/c2ccc(cc2)C(=O)O)COP(=O)(O)O)C=O)O,-6.96,3.96387935711848,7.96837240107469,9,0.2,0.2,2635
A1AF6,c1cc2c(c(c1)N3C(=O)NC(=N3)[C@H]4CCCN(C4)CCC5CCCCC5)NC(=O)C=C2,-7.94,27.1402367268484,2.48199040833046,6,0,0,1819
A1AHK,c1cc(ccc1CC(=O)Nc2ccn(n2)Cc3ccc(cn3)C#N)C4(CC4)C(F)(F)F,-7.48,5.99490963624623,6.16629398907672,6,0,0.2,no
EUR,c1cc(c(c(c1CNC(=O)c2c(nc([nH]2)CO)Cl)F)Oc3cc(cc(c3)Cl)C#N)Cl,-7.48,6.00859815740807,6.00252411912217,6,0,0.2,no
I47,c1cc(ccc1c2c(c(n[nH]2)C3CCN(CC3)C(=O)CO)c4ccncn4)Cl,-7.04,4.53611764175018,0.854101551210024,5,0.2,0.2,no
SN7,C[n+]1ccc(cc1)Nc2ccc(cc2)NC(=O)c3ccc(cc3N)Nc4cc[n+](c5c4cc(cc5)N)C,-8.08,29.574606609573,0.651542732646781,4,0,0,no
SV5,c1ccc(cc1)Cn2ccc3c2C=CNC3=O,-7.12,1.33166665777756,0.590790938668758,3,0,0,no
8R7,COc1ccc2c(ccnc2c1)c3ccc(c(c3)C4CCCC4)C(=O)O,-7.54,7.75800394160777,0.140270399402281,4,0,0.2,no
SCW,c1ccc(cc1)c2cc(c3ncc(n3c2)Br)NCc4cncnc4,-7.33,2.8238848403744,7.19103534827336,5,0,0,2350
HAT,Cn1ccc2c1cc(cc2)c3cc(cc4c3nccn4)Nc5cnccc5C(=O)N[C@H]6CCN(C6)C,-8.39,32.8785843157873,0.787843987624723,4,0,0,no
I21,C[C@]1(Cc2cccc(c2)C=CC(=NC(=O)c3cc(cc(c3)c4ccccc4C#N)COC1=O)c5ccccc5)N,-8.5,33.1994670272905,1.33617327006129,4,0,0,no
RJS,c1ccn2c(c1)c(cn2)C(=O)NS(=O)(=O)Cc3ccc(c(c3)F)Br,-6.98,4.14780226913037,0.43163207772029,4,0.2,0.2,2302
O41,CS(=O)(=O)N1CCC(CC1)NC(=O)c2cc(on2)C3CC3,-7.37,5.61337350640932,1.70610614397721,4,0.2,0,no
JO0,c1cc(cc(c1)Cl)CN2CNc3c2nc(nc3NC4CC4)Cl,-6.95,2.0188361622179,0.284936746411124,3,0,0.2,2520
R44,c1cnc2cc(sc2c1c3cc(cc4c3O[C@H](C4)C(=O)N5CCNCC5)Cl)CN6C(=O)CCC6=O,-8.29,32.4102772676976,1.76430417711645,3,0,0,no
USS,c1ccc2c(c1)NC(=O)N2C3=CCN(CC3)CCCC(=O)c4ccc(cc4)F,-7.43,6.64432185376955,0.915348966753999,8,0.2,0,2559
PKA,CC[C@@H](C)N(C)C(=O)c1cc2ccccc2c(n1)c3ccccc3Cl,-7.13,3.09229431736345,3.62304210996918,11,0,0.2,no
RYG,c1cc(oc1)C(=O)N[C@@H]2CCCCNC2=O,-7.11,1.35118637843624,6.33293744954432,3,0,0,no
FGH,CC(C)Cc1cc(cc2c1C(=O)NCC2)n3c4c(c5c3CN(CC5)C)C(=O)CC(C4)(C)C,-8.05,29.3564367155093,1.14506520554478,12,0,0,no
A1D9A,Cc1cc(sc1C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)C(c2ccc(cc2)Cl)c3ccc(cc3)Cl,-8.37,32.935495292645,5.13622953863533,11,0,0,1768
JX4,Cn1cc(cn1)c2cn3c(cc2OC)ncc3c4cccc(n4)N[C@@H]5CCNC5,-7.21,3.61815106061607,3.34958984799549,4,0,0.2,no
740,c1cc(ccc1CC(=O)Nc2c3cc(ccc3[nH]n2)N4CCCS4(=O)=O)N5CCCCC5,-8.3,32.6006958261678,5.89361595629971,6,0,0,2118
D42,Cc1c(sc(n1)C)c2c3c(n[nH]2)-c4cccc(c4C3=O)NC(=O)NN5CCN(CC5)C,-7.91,27.2473950028284,0.506636606803625,4,0,0,no
